          Evm          Svm          E11          E22          E33          E23          E13          E12        SCAU11       SCAU22       SCAU33       SCAU23       SCAU13       SCAU12  TEMP          EE11         EE22         EE33         EE23         EE13         EE12         EP11         EP22         EP33         EP23         EP13         EP12        ETR11        ETR22        ETR33        ETR23        ETR13        ETR12           L11          L12          L13          L21          L22          L23          L31          L32          L33        tincr        press          <p>
  0.19167E-02  0.16782E+03  0.24000E-02 -0.12140E-02 -0.93606E-03 -0.86278E-12  0.16735E-11  0.10171E-11   0.16782E+03  0.31335E-11  0.14921E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98769E-03 -0.30504E-03 -0.26262E-03 -0.32499E-12  0.21809E-12 -0.60012E-13  0.14123E-02 -0.83251E-03 -0.57979E-03 -0.75453E-12  0.16729E-11  0.10772E-11  0.39907E-03 -0.98929E-04 -0.85900E-04 -0.47669E-11  0.90715E-11 -0.11778E-13   0.10000E-02  0.13965E-11  0.24942E-11  0.00000E+00 -0.58984E-03  0.30583E-13  0.00000E+00  0.00000E+00 -0.40958E-03  0.20000E+00  0.55939E+02  0.55939E+02
  0.21167E-02  0.16790E+03  0.26000E-02 -0.13320E-02 -0.10180E-02 -0.85934E-12  0.19197E-11  0.11557E-11   0.16790E+03  0.34390E-11  0.16271E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98797E-03 -0.30512E-03 -0.26269E-03 -0.32499E-12  0.21801E-12 -0.60054E-13  0.16120E-02 -0.95040E-03 -0.66164E-03 -0.75109E-12  0.19192E-11  0.12157E-11  0.40161E-03 -0.10048E-03 -0.86895E-04 -0.47677E-11  0.90629E-11 -0.14256E-13   0.10000E-02  0.13749E-11  0.24314E-11  0.00000E+00 -0.58977E-03  0.35982E-13  0.00000E+00  0.00000E+00 -0.40944E-03  0.20000E+00  0.55965E+02  0.55966E+02
  0.23166E-02  0.16800E+03  0.28000E-02 -0.14499E-02 -0.10999E-02 -0.85558E-12  0.21598E-11  0.12921E-11   0.16800E+03  0.37588E-11  0.17195E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98834E-03 -0.30524E-03 -0.26279E-03 -0.32499E-12  0.21791E-12 -0.60111E-13  0.18117E-02 -0.10682E-02 -0.74343E-03 -0.74733E-12  0.21594E-11  0.13522E-11  0.40386E-03 -0.10184E-03 -0.87774E-04 -0.47684E-11  0.90548E-11 -0.16926E-13   0.10000E-02  0.13546E-11  0.23760E-11  0.00000E+00 -0.58967E-03  0.38257E-13  0.00000E+00  0.00000E+00 -0.40927E-03  0.20000E+00  0.56000E+02  0.56001E+02
  0.25165E-02  0.16813E+03  0.30000E-02 -0.15679E-02 -0.11817E-02 -0.85169E-12  0.23949E-11  0.14266E-11   0.16813E+03  0.40856E-11  0.18616E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98883E-03 -0.30539E-03 -0.26292E-03 -0.32499E-12  0.21777E-12 -0.60188E-13  0.20112E-02 -0.11860E-02 -0.82515E-03 -0.74344E-12  0.23946E-11  0.14868E-11  0.40583E-03 -0.10304E-03 -0.88543E-04 -0.47690E-11  0.90471E-11 -0.19711E-13   0.10000E-02  0.13357E-11  0.23291E-11  0.00000E+00 -0.58956E-03  0.39065E-13  0.00000E+00  0.00000E+00 -0.40911E-03  0.20000E+00  0.56044E+02  0.56045E+02
  0.27164E-02  0.16829E+03  0.32000E-02 -0.16858E-02 -0.12635E-02 -0.84777E-12  0.26256E-11  0.15593E-11   0.16829E+03  0.44125E-11  0.19895E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98945E-03 -0.30558E-03 -0.26309E-03 -0.32499E-12  0.21760E-12 -0.60284E-13  0.22105E-02 -0.13037E-02 -0.90681E-03 -0.73952E-12  0.26255E-11  0.16195E-11  0.40755E-03 -0.10409E-03 -0.89213E-04 -0.47694E-11  0.90397E-11 -0.22558E-13   0.10000E-02  0.13179E-11  0.22901E-11  0.00000E+00 -0.58945E-03  0.39152E-13  0.00000E+00  0.00000E+00 -0.40897E-03  0.20000E+00  0.56097E+02  0.56099E+02
  0.29163E-02  0.16847E+03  0.34000E-02 -0.18037E-02 -0.13453E-02 -0.84386E-12  0.28529E-11  0.16902E-11   0.16847E+03  0.47180E-11  0.21387E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99020E-03 -0.30581E-03 -0.26329E-03 -0.32499E-12  0.21739E-12 -0.60399E-13  0.24098E-02 -0.14214E-02 -0.98840E-03 -0.73561E-12  0.28530E-11  0.17506E-11  0.40905E-03 -0.10501E-03 -0.89794E-04 -0.47698E-11  0.90325E-11 -0.25432E-13   0.10000E-02  0.13014E-11  0.22579E-11  0.00000E+00 -0.58934E-03  0.38872E-13  0.00000E+00  0.00000E+00 -0.40884E-03  0.20000E+00  0.56158E+02  0.56159E+02
  0.31162E-02  0.16868E+03  0.36000E-02 -0.19215E-02 -0.14271E-02 -0.83999E-12  0.30772E-11  0.18195E-11   0.16868E+03  0.50733E-11  0.22311E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99106E-03 -0.30608E-03 -0.26351E-03 -0.32499E-12  0.21715E-12 -0.60531E-13  0.26089E-02 -0.15390E-02 -0.10699E-02 -0.73175E-12  0.30776E-11  0.18801E-11  0.41035E-03 -0.10581E-03 -0.90299E-04 -0.47702E-11  0.90255E-11 -0.28311E-13   0.10000E-02  0.12861E-11  0.22311E-11  0.00000E+00 -0.58923E-03  0.38398E-13  0.00000E+00  0.00000E+00 -0.40874E-03  0.20000E+00  0.56226E+02  0.56227E+02
  0.33161E-02  0.16890E+03  0.38000E-02 -0.20394E-02 -0.15088E-02 -0.83618E-12  0.32991E-11  0.19474E-11   0.16890E+03  0.53504E-11  0.23590E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99201E-03 -0.30637E-03 -0.26377E-03 -0.32499E-12  0.21689E-12 -0.60678E-13  0.28080E-02 -0.16566E-02 -0.11514E-02 -0.72793E-12  0.32997E-11  0.20081E-11  0.41148E-03 -0.10650E-03 -0.90737E-04 -0.47705E-11  0.90186E-11 -0.31179E-13   0.10000E-02  0.12719E-11  0.22086E-11  0.00000E+00 -0.58913E-03  0.37822E-13  0.00000E+00  0.00000E+00 -0.40865E-03  0.20000E+00  0.56300E+02  0.56302E+02
  0.35159E-02  0.16914E+03  0.40000E-02 -0.21572E-02 -0.15906E-02 -0.83243E-12  0.35189E-11  0.20739E-11   0.16914E+03  0.55991E-11  0.25011E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99305E-03 -0.30669E-03 -0.26405E-03 -0.32499E-12  0.21660E-12 -0.60839E-13  0.30069E-02 -0.17741E-02 -0.12329E-02 -0.72418E-12  0.35198E-11  0.21348E-11  0.41247E-03 -0.10711E-03 -0.91116E-04 -0.47708E-11  0.90118E-11 -0.34026E-13   0.10000E-02  0.12587E-11  0.21896E-11  0.00000E+00 -0.58904E-03  0.37192E-13  0.00000E+00  0.00000E+00 -0.40858E-03  0.20000E+00  0.56379E+02  0.56381E+02
  0.37158E-02  0.16939E+03  0.42000E-02 -0.22750E-02 -0.16723E-02 -0.82874E-12  0.37370E-11  0.21992E-11   0.16939E+03  0.58833E-11  0.26645E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99417E-03 -0.30704E-03 -0.26434E-03 -0.32499E-12  0.21628E-12 -0.61011E-13  0.32058E-02 -0.18915E-02 -0.13143E-02 -0.72049E-12  0.37382E-11  0.22602E-11  0.41333E-03 -0.10765E-03 -0.91445E-04 -0.47711E-11  0.90051E-11 -0.36842E-13   0.10000E-02  0.12466E-11  0.21731E-11  0.00000E+00 -0.58895E-03  0.36539E-13  0.00000E+00  0.00000E+00 -0.40853E-03  0.20000E+00  0.56463E+02  0.56465E+02
